pat_id,tot_wind,not_analyzed,percent_not_analyzed
1_lead_LII,31,0,0
10_lead_aVF,99,99,100
10_lead_aVL,67,0,0
10_lead_aVR,103,103,100
10_lead_LI,93,93,100
10_lead_LII,117,117,100
10_lead_LIII,81,45,55.5556
10_lead_Vx,169,169,100
11_lead_aVF,90,90,100
11_lead_aVL,73,73,100
11_lead_aVR,54,54,100
11_lead_LI,55,55,100
11_lead_LII,84,84,100
11_lead_LIII,100,100,100
11_lead_Vx,52,2,3.8462
12_lead_aVF,363,362,99.7245
12_lead_aVL,265,265,100
12_lead_aVR,259,259,100
12_lead_LI,219,219,100
12_lead_LII,367,367,100
12_lead_LIII,364,364,100
12_lead_Vx,391,391,100
13_lead_aVF,337,337,100
13_lead_aVL,316,267,84.4937
13_lead_aVR,231,231,100
13_lead_LI,267,98,36.7041
13_lead_LII,309,293,94.822
13_lead_LIII,381,374,98.1627
13_lead_Vx,252,252,100
14_lead_aVF,358,347,96.9274
14_lead_aVL,399,399,100
14_lead_aVR,255,255,100
14_lead_LI,363,363,100
14_lead_LII,285,285,100
14_lead_LIII,460,448,97.3913
14_lead_Vx,208,208,100
15_lead_aVF,138,138,100
15_lead_aVL,118,118,100
15_lead_aVR,139,139,100
15_lead_LI,138,138,100
15_lead_LII,160,160,100
15_lead_LIII,133,95,71.4286
15_lead_Vx,150,150,100
16_lead_aVF,361,361,100
16_lead_aVL,355,355,100
16_lead_aVR,220,220,100
16_lead_LI,298,298,100
16_lead_LII,297,297,100
16_lead_LIII,438,438,100
16_lead_Vx,228,228,100
17_lead_aVF,171,171,100
17_lead_aVL,135,116,85.9259
17_lead_aVR,117,117,100
17_lead_LI,106,26,24.5283
17_lead_LII,166,166,100
17_lead_LIII,175,175,100
17_lead_Vx,168,155,92.2619
18_lead_aVF,87,87,100
18_lead_aVL,91,91,100
18_lead_aVR,85,85,100
18_lead_LI,96,96,100
18_lead_LII,93,93,100
18_lead_LIII,96,33,34.375
18_lead_Vx,76,76,100
19_lead_aVF,160,160,100
19_lead_aVL,132,115,87.1212
19_lead_aVR,141,141,100
19_lead_LI,135,134,99.2593
19_lead_LII,168,168,100
19_lead_LIII,160,152,95
19_lead_Vx,141,141,100
3_lead_LII,31,28,90.3226
4_lead_LII,25,25,100
5_lead_LII,31,29,93.5484
6_lead_LII,31,31,100
7_lead_aVF,66,66,100
7_lead_aVL,72,72,100
7_lead_aVR,39,34,87.1795
7_lead_LI,61,61,100
7_lead_LII,51,51,100
7_lead_LIII,85,85,100
7_lead_Vx,76,76,100
8_lead_aVF,178,178,100
8_lead_aVL,237,237,100
8_lead_aVR,153,79,51.634
8_lead_LI,228,228,100
8_lead_LII,132,132,100
8_lead_LIII,247,219,88.664
8_lead_Vx,114,114,100
9_lead_aVF,31,31,100
9_lead_aVL,25,0,0
9_lead_aVR,18,18,100
9_lead_LI,19,0,0
9_lead_LII,30,30,100
9_lead_LIII,34,34,100
9_lead_Vx,27,27,100
