monkey,lead,tot_wind,not_analyzed,percent_not_analyzed
1,LII,49,0,0
10,aVF,54,0,0
10,aVL,54,0,0
10,aVR,54,0,0
10,LI,54,0,0
10,LII,54,0,0
10,LIII,54,0,0
10,Vx,54,0,0
11,aVF,37,1,2.7027
11,aVL,37,1,2.7027
11,aVR,37,1,2.7027
11,LI,37,1,2.7027
11,LII,37,1,2.7027
11,LIII,37,1,2.7027
11,Vx,37,5,13.5135
12,aVF,127,0,0
12,aVL,127,0,0
12,aVR,127,24,18.8976
12,LI,127,99,77.9528
12,LII,127,15,11.811
12,LIII,127,0,0
12,Vx,127,61,48.0315
13,aVF,135,0,0
13,aVL,135,0,0
13,aVR,135,0,0
13,LI,135,0,0
13,LII,135,0,0
13,LIII,135,0,0
13,Vx,135,117,86.6667
14,aVF,72,6,8.3333
14,aVL,72,0,0
14,aVR,72,0,0
14,LI,72,0,0
14,LII,72,9,12.5
14,LIII,72,0,0
14,Vx,72,66,91.6667
15,aVF,57,0,0
15,aVL,57,0,0
15,aVR,57,0,0
15,LI,57,0,0
15,LII,57,0,0
15,LIII,57,0,0
15,Vx,57,0,0
16,aVF,121,0,0
16,aVL,121,0,0
16,aVR,121,0,0
16,LI,121,0,0
16,LII,121,0,0
16,LIII,121,0,0
16,Vx,121,0,0
17,aVF,73,0,0
17,aVL,73,0,0
17,aVR,73,0,0
17,LI,73,0,0
17,LII,73,0,0
17,LIII,73,0,0
17,Vx,73,28,38.3562
18,aVF,42,0,0
18,aVL,42,2,4.7619
18,aVR,42,0,0
18,LI,42,3,7.1429
18,LII,42,0,0
18,LIII,42,2,4.7619
18,Vx,42,8,19.0476
19,aVF,75,0,0
19,aVL,75,0,0
19,aVR,75,0,0
19,LI,75,0,0
19,LII,75,0,0
19,LIII,75,0,0
19,Vx,75,11,14.6667
3,LII,49,6,12.2449
4,LII,43,43,100
5,LII,49,37,75.5102
6,LII,49,49,100
7,aVF,30,0,0
7,aVL,30,0,0
7,aVR,30,3,10
7,LI,30,0,0
7,LII,30,0,0
7,LIII,30,0,0
7,Vx,30,0,0
8,aVF,70,31,44.2857
8,aVL,70,21,30
8,aVR,70,28,40
8,LI,70,17,24.2857
8,LII,70,31,44.2857
8,LIII,70,31,44.2857
8,Vx,70,44,62.8571
9,aVF,18,0,0
9,aVL,18,0,0
9,aVR,18,0,0
9,LI,18,0,0
9,LII,18,0,0
9,LIII,18,0,0
9,Vx,18,0,0
