pat_id,tot_wind,not_analyzed,percent_not_analyzed
1_lead_LII,31,0,0
10_lead_aVF,99,99,100
10_lead_aVL,67,0,0
10_lead_aVR,103,103,100
10_lead_LI,93,93,100
10_lead_LII,109,109,100
10_lead_LIII,81,45,55.5556
10_lead_Vx,168,168,100
11_lead_aVF,90,90,100
11_lead_aVL,73,73,100
11_lead_aVR,54,54,100
11_lead_LI,55,55,100
11_lead_LII,84,84,100
11_lead_LIII,100,100,100
11_lead_Vx,52,9,17.3077
12_lead_aVF,363,363,100
12_lead_aVL,258,258,100
12_lead_aVR,259,259,100
12_lead_LI,219,219,100
12_lead_LII,367,367,100
12_lead_LIII,364,364,100
12_lead_Vx,391,391,100
13_lead_aVF,330,330,100
13_lead_aVL,316,272,86.0759
13_lead_aVR,231,231,100
13_lead_LI,267,97,36.3296
13_lead_LII,309,295,95.4693
13_lead_LIII,381,376,98.6877
13_lead_Vx,252,252,100
14_lead_aVF,358,339,94.6927
14_lead_aVL,399,399,100
14_lead_aVR,255,255,100
14_lead_LI,363,363,100
14_lead_LII,285,285,100
14_lead_LIII,460,450,97.8261
14_lead_Vx,208,208,100
15_lead_aVF,138,138,100
15_lead_aVL,118,118,100
15_lead_aVR,139,139,100
15_lead_LI,138,138,100
15_lead_LII,160,160,100
15_lead_LIII,126,106,84.127
15_lead_Vx,150,150,100
16_lead_aVF,363,363,100
16_lead_aVL,355,355,100
16_lead_aVR,220,220,100
16_lead_LI,298,298,100
16_lead_LII,297,297,100
16_lead_LIII,438,438,100
16_lead_Vx,228,228,100
17_lead_aVF,169,169,100
17_lead_aVL,135,114,84.4444
17_lead_aVR,117,117,100
17_lead_LI,108,31,28.7037
17_lead_LII,166,166,100
17_lead_LIII,177,177,100
17_lead_Vx,168,158,94.0476
18_lead_aVF,87,87,100
18_lead_aVL,91,91,100
18_lead_aVR,85,85,100
18_lead_LI,96,96,100
18_lead_LII,93,93,100
18_lead_LIII,97,31,31.9588
18_lead_Vx,76,76,100
19_lead_aVF,160,160,100
19_lead_aVL,132,120,90.9091
19_lead_aVR,135,135,100
19_lead_LI,135,133,98.5185
19_lead_LII,168,168,100
19_lead_LIII,160,160,100
19_lead_Vx,141,141,100
3_lead_LII,31,28,90.3226
4_lead_LII,25,25,100
5_lead_LII,31,29,93.5484
6_lead_LII,31,31,100
7_lead_aVF,66,66,100
7_lead_aVL,72,72,100
7_lead_aVR,39,39,100
7_lead_LI,61,61,100
7_lead_LII,49,49,100
7_lead_LIII,85,85,100
7_lead_Vx,76,76,100
8_lead_aVF,180,180,100
8_lead_aVL,238,238,100
8_lead_aVR,153,94,61.4379
8_lead_LI,228,228,100
8_lead_LII,133,133,100
8_lead_LIII,249,237,95.1807
8_lead_Vx,115,115,100
9_lead_aVF,31,31,100
9_lead_aVL,25,0,0
9_lead_aVR,19,19,100
9_lead_LI,21,0,0
9_lead_LII,30,30,100
9_lead_LIII,34,34,100
9_lead_Vx,27,27,100
