patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
10_lead_aVF,0,120,413.2517,413.3333,420,0.2746522,1.800139,37.47952,20,16.57263,21.27422,0.01052632,286,0.9934656,5,41.13345,247.07,45.19103,32.15034,1.41,365.5448,5,-1.645022,1.348039,1.447815,0.953239
10_lead_aVF,10,130,412.3024,413.3333,420,0.1152554,-0.0883303,2.084164,16.66667,10.73571,5.501654,0,291,0.994615,5,14.20957,217.2814,19.5716,11.90912,1.64,262.9717,5,-1.565041,1.31877,1.492374,1.023557
10_lead_aVF,20,140,413.3103,413.3333,420,0.1577849,0.4262615,2.83852,16.66667,12.56125,5.60798,0,290,0.9954771,5,1.363154,278.383,55.80774,16.92953,3.3,352.4834,5,-1.544715,1.262376,1.554755,0.9815816
10_lead_aVF,30,150,413.7126,413.3333,406.6667,0.1677526,0.3925114,2.606208,20,12.95193,5.719981,0,290,0.9951897,5,12.34439,311.9673,41.47417,15.91786,2.61,381.7037,5,-1.495726,1.488673,1.57452,0.9555803
10_lead_aVF,40,160,413.2529,413.3333,406.6667,0.1591246,0.4638557,2.865694,16.66667,12.61446,5.783483,0,290,0.994615,5,38.67294,283.3558,33.59742,18.09855,1.86,373.7247,5,-1.493506,1.27451,1.556659,0.9488217
10_lead_aVF,50,170,413.1264,413.3333,410,0.1514372,0.5142796,3.02588,16.66667,12.30598,5.169187,0,290,0.994615,5,60.23048,268.8354,28.36335,14.98438,1.89,372.4136,5,-1.49789,1.329966,1.579326,0.9817413
10_lead_aVF,60,180,413.7471,413.3333,410,0.1533845,0.3938334,2.886512,16.66667,12.38485,5.305,0,290,0.9943276,5,69.09534,267.132,28.12406,16.23183,1.73,380.5833,5,-1.514228,1.458333,1.552369,0.9585003
10_lead_aVF,70,190,415.8708,416.6667,410,0.1499431,0.1170811,2.790043,16.66667,12.24513,5.436218,0,289,0.9943276,5,63.65105,246.8064,39.87684,18.53973,2.15,368.874,5,-1.613248,1.534653,1.668154,0.9934026
10_lead_aVF,80,200,418.8269,420,410,0.1308258,0.1060003,2.870705,16.66667,11.43791,5.620061,0,287,0.9948255,5,48.10366,193.1026,45.86606,22.16786,2.07,309.2402,5,-1.53125,1.509901,1.774379,1.00041
10_lead_aVF,90,210,422.2183,420,410,0.124037,0.3315957,2.498274,16.66667,11.13719,5.722273,0,284,0.9950085,5,43.04643,177.199,46.69307,20.49288,2.28,287.4313,5,-1.502058,1.442308,1.776127,1.012269
