patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
19_lead_aVR,0,120,448.04293,440,436.66667,0.64300787,1.0891728,3.4807419,30,25.3576,12.227598,0.015209125,264,0.99752481,5,210.57802,1013.8393,66.694801,63.203772,1.06,1354.3159,5,-1.7395833,0.9375,0.44768654,0.55459268
19_lead_aVR,10,130,443.71605,436.66667,436.66667,0.41501201,1.0117497,3.8331111,16.666667,20.371844,13.630517,0.018587361,270,0.99499286,5,83.132278,617.00098,84.769608,24.057621,3.52,808.96049,5,-1.5400844,0.85164835,1.3194082,0.72745297
19_lead_aVR,20,140,435.83333,436.66667,436.66667,0.41768687,-0.24548525,4.4372411,15,20.437389,15.723623,0.025454545,276,0.99315773,5,85.637573,575.65398,137.72956,27.964402,4.93,826.98552,5,-1.7405063,0.96014493,1.3166912,0.74896347
19_lead_aVR,30,150,430.75812,433.33333,436.66667,0.37160513,-0.57840071,4.7862306,16.666667,19.277062,16.850436,0.032608696,277,0.99291635,5,62.359438,510.85988,79.722198,30.425434,2.62,683.36695,5,-1.835443,1.001773,1.3248599,0.74127026
19_lead_aVR,40,160,428.52518,433.33333,436.66667,0.31265861,-0.88956052,5.015931,16.666667,17.682155,17.313559,0.036101083,278,0.99382023,5,17.377284,419.74725,57.393506,31.373114,1.83,525.89116,5,-1.8696581,1.391844,1.3673127,0.78117029
19_lead_aVR,50,170,431.19565,433.33333,436.66667,0.4113733,-0.23379917,5.3978084,13.333333,20.28234,19.946393,0.043636364,276,0.99344092,5,0.71345815,561.24733,76.974786,32.479825,2.37,671.41539,5,-2.1202532,1.6935484,1.3198474,0.69837819
19_lead_aVR,60,180,435.09732,436.66667,436.66667,0.56272961,0.17942025,4.9470638,16.666667,23.721922,19.707879,0.043956044,274,0.99310759,5,15.051699,864.90353,83.42788,48.612221,1.72,1011.9953,5,-2.2708333,2.1326165,0.43260536,0.532099
19_lead_aVR,70,190,438.8848,436.66667,436.66667,0.71752994,0.19105869,3.967069,16.666667,26.786749,20.890389,0.051660517,272,0.99310759,5,65.162683,1157.9655,61.397847,49.898114,1.23,1334.4241,5,-2.6458333,2.4462366,0.42509894,0.53655466
19_lead_aVR,80,200,440.2337,440,436.66667,0.73381349,0.059195525,3.7986437,22.5,27.088992,21.028102,0.051851852,271,0.99310759,5,75.122104,1204.1171,52.134231,48.623754,1.07,1379.9972,5,-3.8719512,3.3591065,0.44925427,0.59187465
19_lead_aVR,90,210,443.94052,440,436.66667,0.9341656,0.17261532,3.4159206,33.333333,30.564123,22.177297,0.059701493,269,0.99372487,5,186.88834,1373.4661,201.76013,59.937639,3.37,1822.0522,5,-4.0392157,3.501773,0.55265802,0.62994839
19_lead_aVR,100,220,445.49313,443.33333,436.66667,0.99059759,0.062276907,3.1230143,36.666667,31.47376,23.650724,0.067669173,267,0.99372487,5,244.38847,1495.5306,143.38642,57.969888,2.47,1941.2753,5,-3.9457831,3.9855072,0.62345932,0.67994766
19_lead_aVR,110,230,447.0802,446.66667,436.66667,1.0184028,-0.050958525,3.0097251,36.666667,31.912423,23.88038,0.067924528,266,0.99336255,5,262.91578,1475.9406,198.30393,70.038592,2.83,2007.1989,5,-4.5180723,3.65,0.70443987,0.72530751
19_lead_aVR,120,240,453.88041,453.33333,466.66667,1.4813939,0.23659048,3.0474968,46.666667,38.48888,25.571376,0.084291188,262,0.99300023,5,525.84435,2086.5286,324.73976,94.570587,3.43,3031.6833,5,-4.2078189,3.6666667,0.92256293,0.70331553
19_lead_aVR,130,250,455.06361,456.66667,466.66667,1.5060623,0.16883311,2.9382352,46.666667,38.808019,24.061791,0.076628352,262,0.99553219,5,416.58109,2214.7272,347.45621,92.878508,3.74,3071.643,5,-3.8253012,4.1666667,0.98686961,0.71427665
