patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
20_lead_LII,0,120,319.7359,320,320,0.05822533,3.763937,31.64589,6.666667,7.630553,6.026325,0,366,0.9935476,5,3.669351,35.02673,62.56947,34.13103,1.83,135.3966,5,-1.083333,0.9592326,1.265387,1.121192
20_lead_LII,10,130,318.9305,320,313.3333,0.06063442,3.666234,30.13346,10,7.78681,6.03337,0,374,0.9929069,5,6.138475,40.06164,64.11156,33.31813,1.92,143.6298,5,-1.156331,1,1.325919,1.141904
20_lead_LII,20,140,318.3556,316.6667,313.3333,0.05935037,3.956378,32.50743,9.166667,7.703919,6.005543,0,375,0.9929069,5,4.291455,39.54559,60.95292,33.76359,1.81,138.5536,5,-1.183862,1.041667,1.376436,1.162501
20_lead_LII,30,150,318.3644,316.6667,313.3333,0.05952814,3.935883,32.29678,10,7.715448,6.022832,0,375,0.9931321,5,2.463751,41.47121,60.09658,33.95356,1.77,137.9851,5,-1.287263,1.119048,1.346024,1.142642
20_lead_LII,40,160,318.7111,316.6667,313.3333,0.06693207,3.423692,25.51218,10,8.181202,6.062166,0,375,0.9933573,5,0.1436683,47.30675,73.51426,36.19239,2.03,157.1571,5,-1.25,1.113095,1.348074,1.113191
20_lead_LII,50,170,318.6578,316.6667,313.3333,0.06702904,3.442446,25.54125,9.166667,8.187126,6.169039,0,375,0.9933573,5,1.809101,52.59425,68.86285,34.57645,1.99,157.8426,5,-1.290323,1.292892,1.322225,1.105129
20_lead_LII,60,180,319.4831,316.6667,313.3333,0.1227586,3.783092,24.89594,10,11.07965,8.248451,0.002680965,374,0.993607,5,8.376771,74.61603,129.12,73.71246,1.75,285.8253,5,-1.012397,0.9558824,1.354991,1.088343
20_lead_LII,70,190,318.6295,316.6667,313.3333,0.09052226,4.194457,34.18209,6.666667,9.514319,7.447611,0.002659574,377,0.9933831,5,8.952748,70.9895,86.78271,43.72503,1.98,210.45,5,-1.541005,1.27381,1.325292,1.111151
20_lead_LII,80,200,319.8227,316.6667,313.3333,0.09715366,3.686218,28.36794,10,9.856656,7.483315,0.002666667,376,0.9935736,5,11.20169,69.52399,98.83602,49.38001,2,228.9417,5,-1.517615,1.27193,1.294082,1.073323
20_lead_LII,90,210,321.2567,320,316.6667,0.101872,3.1972,24.14503,6.666667,10.09316,7.451561,0.002680965,374,0.9942256,5,13.89495,95.14161,90.90817,47.34501,1.92,247.2897,5,-1.471774,1.382576,1.263873,1.060648
20_lead_LII,100,220,322.0251,320,316.6667,0.1028661,3.00868,22.90724,10,10.14229,7.41529,0.002695418,372,0.9940004,5,12.99361,91.54192,95.29663,51.06512,1.87,250.8973,5,-1.567797,1.304071,1.312437,1.075754
20_lead_LII,110,230,322.5896,320,313.3333,0.103219,2.854803,22.10167,10,10.15967,7.254002,0.002695418,372,0.9942256,5,16.07031,96.11909,95.13229,49.17046,1.93,256.4921,5,-1.527778,1.330749,1.302649,1.079266
