patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,50,170,422.9235,420,416.6667,0.1749571,5.522883,68.4971,10,13.22713,18.49505,0.02469136,244,0.9104587,5,1.999044,72.23611,28.99076,66.07731,0.44,169.3032,5,-0.8454106,0.664557,1.316961,1.003189
8_lead_Vx,60,180,423.5333,423.3333,426.6667,0.1293217,8.635488,111.2492,10,11.37197,14.61693,0.008032129,250,,5,2.420483,72.02369,28.80362,53.01438,0.54,156.2622,5,-0.9057971,0.62249,1.291989,1.007839
8_lead_Vx,70,190,423.5753,423.3333,426.6667,0.1301257,8.614955,110.6446,10,11.40726,10.96143,0.004048583,248,,5,2.708031,72.96398,28.58189,53.32184,0.54,157.5757,5,-0.9057971,0.5995935,1.283807,1.003768
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,,,,,,,,,,,,,,,3,,,,,,,3,,,,
8_lead_Vx,200,320,419.8456,420,423.3333,0.03348165,-0.08457026,2.885965,6.666667,5.786333,4.714045,0,259,,5,1.627605,34.06441,22.80698,4.534489,5.03,63.03349,5,-0.7995495,0.6403509,1.320243,1.07352
